Id,Creation Time,Owner,Tags,rouge1,rouge2,results/rougeL,gen_summ_len,filtered_l,text_len,parameters/threshold,parameters/input_json,method,parameters/summary_ratio,parameters/filtered
NEWS-92,2022-05-18 20:01:23,michal.pastuszka,[],15.1379,3.811,9.2998,235.93,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.01,false
NEWS-90,2022-05-18 19:55:28,michal.pastuszka,[],14.6368,3.6664,9.0044,227.97,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,0.01,true
NEWS-88,2022-05-18 19:50:13,michal.pastuszka,[],15.0787,3.722,9.2236,240.32,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.01,true
NEWS-79,2022-05-18 18:21:41,michal.pastuszka,[],40.034,13.5658,18.4986,2542.65,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.3,false
NEWS-77,2022-05-18 18:15:44,michal.pastuszka,[],39.866,13.6913,18.504,2627.88,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,0.3,true
NEWS-76,2022-05-18 18:10:38,michal.pastuszka,[],39.9579,13.3857,18.1468,2576.6,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.3,true
NEWS-74,2022-05-18 18:05:45,michal.pastuszka,[],40.2815,12.721,18.5211,1821.9,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.2,false
NEWS-72,2022-05-18 18:00:08,michal.pastuszka,[],40.0729,12.6994,18.6468,1807.16,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,0.2,true
NEWS-70,2022-05-18 17:55:08,michal.pastuszka,[],39.868,12.2137,18.1535,1799.96,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.2,true
NEWS-68,2022-05-18 17:45:30,michal.pastuszka,[],35.7271,9.9157,17.1746,1076.63,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.1,false
NEWS-66,2022-05-18 17:38:18,michal.pastuszka,[],35.1542,10.3144,16.9936,1045.42,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,0.1,true
NEWS-64,2022-05-18 17:33:21,michal.pastuszka,[],35.2799,10.0128,16.7799,1064.06,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.1,true
NEWS-62,2022-05-18 17:28:38,michal.pastuszka,[],28.655,7.5619,14.8737,660.92,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.05,false
NEWS-60,2022-05-18 17:22:43,michal.pastuszka,[],28.4028,7.4353,14.5616,655.85,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,0.05,true
NEWS-59,2022-05-18 17:17:21,michal.pastuszka,[],28.6592,7.613,14.557,654.6,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.05,true
NEWS-57,2022-05-18 17:12:18,michal.pastuszka,[],19.6502,5.1737,11.2088,362.64,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.02,false
NEWS-56,2022-05-18 17:06:41,michal.pastuszka,[],19.5225,5.2588,11.227,354.48,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,0.02,true
NEWS-55,2022-05-18 17:01:23,michal.pastuszka,[],19.8517,5.5074,11.3292,360.38,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.02,true
NEWS-181,2022-05-28 13:17:17,michal.pastuszka,[],38.9697,13.9566,18.0063,3370.1,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.4,false
NEWS-180,2022-05-28 13:11:09,michal.pastuszka,[],38.4954,13.6683,17.8055,3460.68,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,0.4,true
NEWS-179,2022-05-28 13:05:13,michal.pastuszka,[],38.5699,13.9737,17.7697,3454.41,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,0.4,true
